Freq.	V(n011)/I(unbalanced)
3.07375036257606e+00	(8.02310860067650e+01dB,1.49720106960852e+02°)
3.09512998708482e+00	(8.02158599127521e+01dB,1.49892720502336e+02°)
3.11665831864204e+00	(8.02007909741505e+01dB,1.50064740498445e+02°)
3.13833639158704e+00	(8.01858781066811e+01dB,1.50236162806186e+02°)
3.16016524745355e+00	(8.01711202224063e+01dB,1.50406983382698e+02°)
3.18214593501971e+00	(8.01565162299889e+01dB,1.50577198285029e+02°)
3.20427951035853e+00	(8.01420650349465e+01dB,1.50746803669869e+02°)
3.22656703688855e+00	(8.01277655399065e+01dB,1.50915795793268e+02°)
3.24900958542498e+00	(8.01136166448560e+01dB,1.51084171010316e+02°)
3.27160823423117e+00	(8.00996172473900e+01dB,1.51251925774791e+02°)
3.29436406907034e+00	(8.00857662429566e+01dB,1.51419056638785e+02°)
3.31727818325781e+00	(8.00720625250993e+01dB,1.51585560252296e+02°)
3.34035167771352e+00	(8.00585049856965e+01dB,1.51751433362799e+02°)
3.36358566101490e+00	(8.00450925151971e+01dB,1.51916672814780e+02°)
3.38698124945015e+00	(8.00318240028547e+01dB,1.52081275549255e+02°)
3.41053956707187e+00	(8.00186983369574e+01dB,1.52245238603261e+02°)
3.43426174575106e+00	(8.00057144050538e+01dB,1.52408559109315e+02°)
3.45814892523151e+00	(7.99928710941778e+01dB,1.52571234294858e+02°)
3.48220225318454e+00	(7.99801672910677e+01dB,1.52733261481671e+02°)
3.50642288526419e+00	(7.99676018823847e+01dB,1.52894638085276e+02°)
3.53081198516267e+00	(7.99551737549240e+01dB,1.53055361614298e+02°)
3.55537072466633e+00	(7.99428817958273e+01dB,1.53215429669828e+02°)
3.58010028371194e+00	(7.99307248927878e+01dB,1.53374839944749e+02°)
3.60500185044337e+00	(7.99187019342535e+01dB,1.53533590223050e+02°)
3.63007662126869e+00	(7.99068118096273e+01dB,1.53691678379124e+02°)
3.65532580091765e+00	(7.98950534094621e+01dB,1.53849102377034e+02°)
3.68075060249955e+00	(7.98834256256535e+01dB,1.54005860269779e+02°)
3.70635224756154e+00	(7.98719273516285e+01dB,1.54161950198534e+02°)
3.73213196614728e+00	(7.98605574825302e+01dB,1.54317370391869e+02°)
3.75809099685610e+00	(7.98493149153995e+01dB,1.54472119164968e+02°)
3.78423058690244e+00	(7.98381985493527e+01dB,1.54626194918816e+02°)
3.81055199217580e+00	(7.98272072857553e+01dB,1.54779596139384e+02°)
3.83705647730111e+00	(7.98163400283921e+01dB,1.54932321396797e+02°)
3.86374531569944e+00	(7.98055956836351e+01dB,1.55084369344485e+02°)
3.89061978964920e+00	(7.97949731606041e+01dB,1.55235738718328e+02°)
3.91768119034777e+00	(7.97844713713283e+01dB,1.55386428335791e+02°)
3.94493081797350e+00	(7.97740892309001e+01dB,1.55536437095037e+02°)
3.97236998174820e+00	(7.97638256576274e+01dB,1.55685763974043e+02°)
4.00000000000006e+00	(7.97536795731829e+01dB,1.55834408029702e+02°)
4.02782220022694e+00	(7.97436499027462e+01dB,1.55982368396909e+02°)
4.05583791916018e+00	(7.97337355751461e+01dB,1.56129644287649e+02°)
4.08404850282884e+00	(7.97239355229980e+01dB,1.56276234990074e+02°)
4.11245530662433e+00	(7.97142486828364e+01dB,1.56422139867570e+02°)
4.14105969536557e+00	(7.97046739952451e+01dB,1.56567358357817e+02°)
4.16986304336455e+00	(7.96952104049837e+01dB,1.56711889971851e+02°)
4.19886673449233e+00	(7.96858568611103e+01dB,1.56855734293112e+02°)
4.22807216224559e+00	(7.96766123171000e+01dB,1.56998890976489e+02°)
4.25748072981351e+00	(7.96674757309611e+01dB,1.57141359747362e+02°)
4.28709385014524e+00	(7.96584460653474e+01dB,1.57283140400646e+02°)
4.31691294601778e+00	(7.96495222876657e+01dB,1.57424232799814e+02°)
4.34693945010430e+00	(7.96407033701821e+01dB,1.57564636875941e+02°)
4.37717480504303e+00	(7.96319882901228e+01dB,1.57704352626725e+02°)
