Freq.	V(cold)/I(cold)	V(hot)/I(hot)
2.80888975147603e+00	(7.80648165280864e+01dB,1.42820875956955e+02°)	(8.41170419236406e+01dB,1.59344217812394e+02°)
2.82842712474622e+00	(7.80449292113419e+01dB,1.43028848873102e+02°)	(8.41095968014413e+01dB,1.59474942221776e+02°)
2.84810039119418e+00	(7.80252450166346e+01dB,1.43236181848035e+02°)	(8.41022416563348e+01dB,1.59604984891139e+02°)
2.86791049603169e+00	(7.80057625895219e+01dB,1.43442868428361e+02°)	(8.40949755506708e+01dB,1.59734346707476e+02°)
2.88785839104503e+00	(7.79864805696244e+01dB,1.43648902298275e+02°)	(8.40877975529576e+01dB,1.59863028608814e+02°)
2.90794503464065e+00	(7.79673975909809e+01dB,1.43854277279228e+02°)	(8.40807067379104e+01dB,1.59991031583263e+02°)
2.92817139189129e+00	(7.79485122823988e+01dB,1.44058987329568e+02°)	(8.40737021864982e+01dB,1.60118356668080e+02°)
2.94853843458224e+00	(7.79298232678017e+01dB,1.44263026544123e+02°)	(8.40667829859871e+01dB,1.60245004948731e+02°)
2.96904714125813e+00	(7.79113291665720e+01dB,1.44466389153757e+02°)	(8.40599482299811e+01dB,1.60370977557961e+02°)
2.98969849726991e+00	(7.78930285938913e+01dB,1.44669069524888e+02°)	(8.40531970184613e+01dB,1.60496275674869e+02°)
3.01049349482217e+00	(7.78749201610753e+01dB,1.44871062158963e+02°)	(8.40465284578211e+01dB,1.60620900523988e+02°)
3.03143313302083e+00	(7.78570024759055e+01dB,1.45072361691900e+02°)	(8.40399416608996e+01dB,1.60744853374373e+02°)
3.05251841792116e+00	(7.78392741429571e+01dB,1.45272962893499e+02°)	(8.40334357470127e+01dB,1.60868135538690e+02°)
3.07375036257606e+00	(7.78217337639208e+01dB,1.45472860666809e+02°)	(8.40270098419826e+01dB,1.60990748372318e+02°)
3.09512998708482e+00	(7.78043799379236e+01dB,1.45672050047469e+02°)	(8.40206630781629e+01dB,1.61112693272452e+02°)
3.11665831864204e+00	(7.77872112618415e+01dB,1.45870526203016e+02°)	(8.40143945944638e+01dB,1.61233971677220e+02°)
3.13833639158704e+00	(7.77702263306113e+01dB,1.46068284432158e+02°)	(8.40082035363724e+01dB,1.61354585064795e+02°)
3.16016524745355e+00	(7.77534237375346e+01dB,1.46265320164017e+02°)	(8.40020890559740e+01dB,1.61474534952526e+02°)
3.18214593501971e+00	(7.77368020745804e+01dB,1.46461628957345e+02°)	(8.39960503119682e+01dB,1.61593822896069e+02°)
3.20427951035853e+00	(7.77203599326807e+01dB,1.46657206499711e+02°)	(8.39900864696852e+01dB,1.61712450488532e+02°)
3.22656703688855e+00	(7.77040959020232e+01dB,1.46852048606652e+02°)	(8.39841967010982e+01dB,1.61830419359614e+02°)
3.24900958542498e+00	(7.76880085723374e+01dB,1.47046151220811e+02°)	(8.39783801848357e+01dB,1.61947731174775e+02°)
3.27160823423117e+00	(7.76720965331784e+01dB,1.47239510411033e+02°)	(8.39726361061899e+01dB,1.62064387634387e+02°)
3.29436406907034e+00	(7.76563583742039e+01dB,1.47432122371453e+02°)	(8.39669636571254e+01dB,1.62180390472914e+02°)
3.31727818325781e+00	(7.76407926854475e+01dB,1.47623983420542e+02°)	(8.39613620362828e+01dB,1.62295741458089e+02°)
3.34035167771352e+00	(7.76253980575865e+01dB,1.47815090000143e+02°)	(8.39558304489839e+01dB,1.62410442390102e+02°)
3.36358566101490e+00	(7.76101730822056e+01dB,1.48005438674478e+02°)	(8.39503681072337e+01dB,1.62524495100800e+02°)
3.38698124945015e+00	(7.75951163520553e+01dB,1.48195026129135e+02°)	(8.39449742297197e+01dB,1.62637901452888e+02°)
3.41053956707187e+00	(7.75802264613049e+01dB,1.48383849170031e+02°)	(8.39396480418109e+01dB,1.62750663339145e+02°)
3.43426174575106e+00	(7.75655020057920e+01dB,1.48571904722366e+02°)	(8.39343887755547e+01dB,1.62862782681646e+02°)
3.45814892523151e+00	(7.75509415832658e+01dB,1.48759189829539e+02°)	(8.39291956696719e+01dB,1.62974261430992e+02°)
3.48220225318454e+00	(7.75365437936256e+01dB,1.48945701652067e+02°)	(8.39240679695507e+01dB,1.63085101565553e+02°)
3.50642288526419e+00	(7.75223072391552e+01dB,1.49131437466471e+02°)	(8.39190049272389e+01dB,1.63195305090711e+02°)
3.53081198516267e+00	(7.75082305247518e+01dB,1.49316394664151e+02°)	(8.39140058014331e+01dB,1.63304874038120e+02°)
3.55537072466633e+00	(7.74943122581492e+01dB,1.49500570750247e+02°)	(8.39090698574709e+01dB,1.63413810464976e+02°)
3.58010028371194e+00	(7.74805510501382e+01dB,1.49683963342485e+02°)	(8.39041963673150e+01dB,1.63522116453284e+02°)
3.60500185044337e+00	(7.74669455147794e+01dB,1.49866570170003e+02°)	(8.38993846095435e+01dB,1.63629794109150e+02°)
3.63007662126869e+00	(7.74534942696132e+01dB,1.50048389072172e+02°)	(8.38946338693317e+01dB,1.63736845562072e+02°)
3.65532580091765e+00	(7.74401959358639e+01dB,1.50229417997400e+02°)	(8.38899434384385e+01dB,1.63843272964240e+02°)
3.68075060249955e+00	(7.74270491386391e+01dB,1.50409655001926e+02°)	(8.38853126151871e+01dB,1.63949078489850e+02°)
3.70635224756154e+00	(7.74140525071242e+01dB,1.50589098248599e+02°)	(8.38807407044474e+01dB,1.64054264334421e+02°)
3.73213196614728e+00	(7.74012046747721e+01dB,1.50767746005655e+02°)	(8.38762270176166e+01dB,1.64158832714131e+02°)
3.75809099685610e+00	(7.73885042794882e+01dB,1.50945596645477e+02°)	(8.38717708725965e+01dB,1.64262785865148e+02°)
3.78423058690244e+00	(7.73759499638098e+01dB,1.51122648643350e+02°)	(8.38673715937742e+01dB,1.64366126042985e+02°)
3.81055199217580e+00	(7.73635403750822e+01dB,1.51298900576207e+02°)	(8.38630285119964e+01dB,1.64468855521851e+02°)
3.83705647730111e+00	(7.73512741656286e+01dB,1.51474351121371e+02°)	(8.38587409645481e+01dB,1.64570976594023e+02°)
3.86374531569944e+00	(7.73391499929160e+01dB,1.51648999055282e+02°)	(8.38545082951242e+01dB,1.64672491569214e+02°)
3.89061978964920e+00	(7.73271665197162e+01dB,1.51822843252230e+02°)	(8.38503298538058e+01dB,1.64773402773963e+02°)
3.91768119034777e+00	(7.73153224142622e+01dB,1.51995882683073e+02°)	(8.38462049970339e+01dB,1.64873712551027e+02°)
3.94493081797350e+00	(7.73036163504001e+01dB,1.52168116413957e+02°)	(8.38421330875788e+01dB,1.64973423258782e+02°)
3.97236998174820e+00	(7.72920470077361e+01dB,1.52339543605026e+02°)	(8.38381134945142e+01dB,1.65072537270636e+02°)
4.00000000000006e+00	(7.72806130717793e+01dB,1.52510163509137e+02°)	(8.38341455931860e+01dB,1.65171056974447e+02°)
4.02782220022694e+00	(7.72693132340795e+01dB,1.52679975470561e+02°)	(8.38302287651825e+01dB,1.65268984771954e+02°)
4.05583791916018e+00	(7.72581461923615e+01dB,1.52848978923696e+02°)	(8.38263623983044e+01dB,1.65366323078217e+02°)
4.08404850282884e+00	(7.72471106506532e+01dB,1.53017173391768e+02°)	(8.38225458865305e+01dB,1.65463074321061e+02°)
4.11245530662433e+00	(7.72362053194120e+01dB,1.53184558485531e+02°)	(8.38187786299874e+01dB,1.65559240940530e+02°)
4.14105969536557e+00	(7.72254289156439e+01dB,1.53351133901978e+02°)	(8.38150600349169e+01dB,1.65654825388359e+02°)
4.16986304336455e+00	(7.72147801630207e+01dB,1.53516899423037e+02°)	(8.38113895136394e+01dB,1.65749830127442e+02°)
4.19886673449233e+00	(7.72042577919920e+01dB,1.53681854914279e+02°)	(8.38077664845223e+01dB,1.65844257631315e+02°)
4.22807216224559e+00	(7.71938605398926e+01dB,1.53846000323625e+02°)	(8.38041903719432e+01dB,1.65938110383646e+02°)
4.25748072981351e+00	(7.71835871510460e+01dB,1.54009335680046e+02°)	(8.38006606062548e+01dB,1.66031390877735e+02°)
4.28709385014524e+00	(7.71734363768654e+01dB,1.54171861092284e+02°)	(8.37971766237508e+01dB,1.66124101616026e+02°)
4.31691294601778e+00	(7.71634069759479e+01dB,1.54333576747555e+02°)	(8.37937378666251e+01dB,1.66216245109614e+02°)
4.34693945010430e+00	(7.71534977141668e+01dB,1.54494482910268e+02°)	(8.37903437829389e+01dB,1.66307823877779e+02°)
